run_key,run_label,harness,mode,audit_id,total_calls,blockchain_rpc_probe,build_or_test,code_or_file_inspection,code_search,file_or_repo_mutation,other,run_orchestration,script_or_runtime,submission_output,text_processing,version_control
runs/phase6/vllm-4trees-2026-05-04/modal-forest-qwen-vllm-4trees-debug/2026-05-04T11-57-08-GMT_run-group_mini-swe-agent-modal-forest-qwen-vllm-4trees-debug_detect,phase6/vllm-4trees-2026-05-04/modal-forest-qwen-vllm-4trees-debug,mini-swe-agent-forest,detect,2024-01-canto,193,0,0,161,15,7,9,1,0,0,0,0
runs/phase6/qwen-vllm-2tree-canto-2026-05-05/modal-forest-qwen-vllm-2trees-debug/2026-05-05T15-29-29-GMT_run-group_mini-swe-agent-modal-forest-qwen-vllm-2trees-debug_detect,phase6/qwen-vllm-2tree-canto-2026-05-05/modal-forest-qwen-vllm-2trees-debug,mini-swe-agent-forest,detect,2024-01-canto,101,0,1,89,2,8,0,1,0,0,0,0
runs/rca/qwen-vllm-2tree-canto-2026-05-05/modal-forest-qwen-vllm-2trees-debug/2026-05-05T15-29-29-GMT_run-group_mini-swe-agent-modal-forest-qwen-vllm-2trees-debug_detect,rca/qwen-vllm-2tree-canto-2026-05-05/modal-forest-qwen-vllm-2trees-debug,mini-swe-agent-forest,detect,2024-01-canto,101,0,1,89,2,8,0,1,0,0,0,0
runs/openrouter-v1/openrouter-owl-alpha-rich4-patch-20260515T155754Z/evmbench_runs/codex--openrouter__owl-alpha-377195ae--patch--2023-12-ethereumcreditguild/2026-05-15T15-59-41-GMT_run-group_codex-openrouter-v1_patch,codex--openrouter__owl-alpha-377195ae--patch--2023-12-ethereumcreditguild,codex,patch,2023-12-ethereumcreditguild,90,0,12,56,10,7,1,0,0,2,0,2
runs/openrouter-v1/openrouter-owl-alpha-rich4-patch-20260515T155754Z/evmbench_runs/codex--openrouter__owl-alpha-377195ae--patch--2024-05-olas/2026-05-15T16-53-17-GMT_run-group_codex-openrouter-v1_patch,codex--openrouter__owl-alpha-377195ae--patch--2024-05-olas,codex,patch,2024-05-olas,82,0,0,72,10,0,0,0,0,0,0,0
runs/openrouter-v1/openai-gpt-5.4-opencode-panoptic-rerun-20260513T122729Z/evmbench_runs/opencode--gpt-5.4-6641e7fa--exploit--2025-06-panoptic/2026-05-13T13-28-35-GMT_run-group_opencode-openrouter-v1_exploit,opencode--gpt-5.4-6641e7fa--exploit--2025-06-panoptic,opencode,exploit,2025-06-panoptic,64,62,0,1,0,0,0,0,1,0,0,0
runs/openrouter-v1/openai-gpt-5.4-both-blackhole-allmodes-20260515T132540Z/evmbench_runs/codex--gpt-5.4-6641e7fa--exploit--2025-05-blackhole/2026-05-15T13-37-57-GMT_run-group_codex-openrouter-v1_exploit,codex--gpt-5.4-6641e7fa--exploit--2025-05-blackhole,codex,exploit,2025-05-blackhole,62,18,0,6,6,24,1,0,6,0,1,0
runs/openrouter-v1/openai-gpt-5.4-both-blackhole-allmodes-20260515T132540Z/evmbench_runs/opencode--gpt-5.4-6641e7fa--exploit--2025-05-blackhole/2026-05-15T15-04-53-GMT_run-group_opencode-openrouter-v1_exploit,opencode--gpt-5.4-6641e7fa--exploit--2025-05-blackhole,opencode,exploit,2025-05-blackhole,50,44,0,0,0,0,6,0,0,0,0,0
runs/openrouter-v1/openai-gpt-5.4-sample-panoptic-all-modes/evmbench_runs/codex--gpt-5.4-6641e7fa--exploit--2025-06-panoptic/2026-05-12T15-45-09-GMT_run-group_codex-openrouter-v1_exploit,codex--gpt-5.4-6641e7fa--exploit--2025-06-panoptic,codex,exploit,2025-06-panoptic,42,19,5,10,4,2,1,0,1,0,0,0
runs/openrouter-v1/openai-gpt-5.4-both-blackhole-allmodes-20260515T132540Z/evmbench_runs/codex--gpt-5.4-6641e7fa--detect--2025-05-blackhole/2026-05-15T13-27-23-GMT_run-group_codex-openrouter-v1_detect,codex--gpt-5.4-6641e7fa--detect--2025-05-blackhole,codex,detect,2025-05-blackhole,27,0,0,15,6,1,0,0,0,4,0,1
runs/openrouter-v1/openai-gpt-5.4-sample-panoptic-all-modes/evmbench_runs/codex--gpt-5.4-6641e7fa--patch--2025-06-panoptic/2026-05-12T15-40-47-GMT_run-group_codex-openrouter-v1_patch,codex--gpt-5.4-6641e7fa--patch--2025-06-panoptic,codex,patch,2025-06-panoptic,24,0,9,0,0,1,0,0,13,1,0,0
runs/openrouter-v1/openai-gpt-5.4-sample-panoptic-all-modes/evmbench_runs/codex--gpt-5.4-6641e7fa--detect--2025-06-panoptic/2026-05-12T15-38-02-GMT_run-group_codex-openrouter-v1_detect,codex--gpt-5.4-6641e7fa--detect--2025-06-panoptic,codex,detect,2025-06-panoptic,22,0,3,12,3,1,0,0,0,2,1,0
runs/openrouter-v1/openai-gpt-5.4-sample-detect-only-small/evmbench_runs/codex--gpt-5.4-6641e7fa--detect--2024-03-gitcoin/2026-05-13T16-26-31-GMT_run-group_codex-openrouter-v1_detect,codex--gpt-5.4-6641e7fa--detect--2024-03-gitcoin,codex,detect,2024-03-gitcoin,20,0,3,5,0,2,8,0,0,2,0,0
runs/openrouter-v1/openai-gpt-5.4-both-blackhole-allmodes-20260515T132540Z/evmbench_runs/codex--gpt-5.4-6641e7fa--patch--2025-05-blackhole/2026-05-15T13-35-46-GMT_run-group_codex-openrouter-v1_patch,codex--gpt-5.4-6641e7fa--patch--2025-05-blackhole,codex,patch,2025-05-blackhole,16,0,2,7,2,3,0,0,1,1,0,0
runs/openrouter-v1/openai-gpt-5.4-sample-detect-only-small/evmbench_runs/codex--gpt-5.4-6641e7fa--detect--2025-02-thorwallet/2026-05-13T16-48-34-GMT_run-group_codex-openrouter-v1_detect,codex--gpt-5.4-6641e7fa--detect--2025-02-thorwallet,codex,detect,2025-02-thorwallet,14,0,3,3,0,0,5,0,0,2,1,0
runs/openrouter-v1/openai-gpt-5.4-both-blackhole-allmodes-20260515T132540Z/evmbench_runs/opencode--gpt-5.4-6641e7fa--patch--2025-05-blackhole/2026-05-15T14-39-40-GMT_run-group_opencode-openrouter-v1_patch,opencode--gpt-5.4-6641e7fa--patch--2025-05-blackhole,opencode,patch,2025-05-blackhole,12,0,3,0,0,1,0,0,0,0,0,8
